PARK AGENCY,PARK NAME,CLEANLINESS,SAFETY,ACTIVITY,COURTESY,VISIT AGAIN,SURVEY_DATE
EAST,Bassett Park,A,A,A,A,A,06/23/2015
EAST,Bassett Park,A,A,A,A,A,06/23/2015
EAST,Bassett Park,A,A,A,A,A,06/23/2015
EAST,Bassett Park,A,A,A,A,A,06/23/2015
EAST,Bassett Park,A,A,A,A,A,06/23/2015
EAST,Bassett Park,A,A,A,A,A,06/23/2015
EAST,Allen J. Martin Park,A,A,A,A,A,06/23/2015
EAST,Allen J. Martin Park,B,A,A,A,A,06/23/2015
EAST,Allen J. Martin Park,A,A,A,A,A,06/23/2015
EAST,Pamela County Park,B,A,A,A,A,06/23/2015
EAST,Pamela County Park,A,A,,A,A,06/23/2015
SOUTH,William Steinmetz Park,B,B,B,F,C,06/23/2015
EAST,Arcadia Community Regional Park,A,A,A,A,A,06/23/2015
SOUTH,Adventure Park,A,B,A,B,A,06/23/2015
NORTH,Acton County Park,D,A,A,D,C,06/24/2015
SOUTH,Jesse Owens Community Regional Park,A,B,A,A,A,06/24/2015
EAST,Charter Oak Park,B,B,F,D,B,06/24/2015
EAST,Charles S. Farnsworth Park,A,B,,,A,06/24/2015
EAST,Valleydale Park,A,A,A,A,A,06/25/2015
EAST,Valleydale Park,A,A,A,A,A,06/25/2015
SOUTH,Cerritos Community Regional Park,A,A,,A,A,06/25/2015
NORTH,West Creek Park,A,A,A,A,A,06/25/2015
REGIONAL,Arboretum and Botanic Garden,A,A,,A,C,06/25/2015
REGIONAL,Peter F. Schabarum Regional Park,A,A,A,A,A,06/25/2015
REGIONAL,Peter F. Schabarum Regional Park,A,A,,A,A,06/25/2015
REGIONAL,Peter F. Schabarum Regional Park,A,A,A,A,A,06/25/2015
REGIONAL,Peter F. Schabarum Regional Park,B,A,,A,A,06/25/2015
REGIONAL,Peter F. Schabarum Regional Park,A,A,,A,A,06/25/2015
REGIONAL,Peter F. Schabarum Regional Park,B,A,,A,A,06/25/2015
SOUTH,Cerritos Community Regional Park,A,A,A,A,A,06/25/2015
SOUTH,Cerritos Community Regional Park,A,A,,A,A,06/25/2015
SOUTH,Cerritos Community Regional Park,A,A,A,A,,06/25/2015
SOUTH,Cerritos Community Regional Park,A,A,,A,A,06/25/2015
SOUTH,La Mirada Community Regional Park,A,B,,A,A,06/25/2015
SOUTH,La Mirada Community Regional Park,B,,,A,A,06/25/2015
SOUTH,La Mirada Community Regional Park,A,A,A,A,A,06/25/2015
SOUTH,La Mirada Community Regional Park,A,A,,A,A,06/25/2015
SOUTH,La Mirada Community Regional Park,B,A,A,A,A,06/25/2015
SOUTH,La Mirada Community Regional Park,B,A,,A,A,06/25/2015
SOUTH,La Mirada Community Regional Park,B,B,B,A,A,06/25/2015
SOUTH,La Mirada Community Regional Park,A,A,A,A,A,06/25/2015
SOUTH,La Mirada Community Regional Park,A,A,A,A,A,06/25/2015
SOUTH,La Mirada Community Regional Park,A,A,A,B,A,06/25/2015
SOUTH,La Mirada Community Regional Park,A,A,A,A,A,06/25/2015
SOUTH,La Mirada Community Regional Park,B,A,A,A,A,06/25/2015
SOUTH,La Mirada Community Regional Park,A,A,,,A,06/25/2015
SOUTH,Franklin D. Roosevelt Park,D,D,A,A,F,06/25/2015
SOUTH,Del Aire Park,C,C,F,B,C,06/25/2015
SOUTH,Jesse Owens Community Regional Park,B,C,,C,B,06/26/2015
GOLF,El Cariso Golf Course,A,A,A,A,A,06/26/2015
GOLF,El Cariso Golf Course,A,A,A,A,A,06/26/2015
GOLF,Lakewood Golf Course,A,A,A,A,A,06/26/2015
GOLF,El Cariso Golf Course,A,A,A,A,A,06/26/2015
GOLF,Lakewood Golf Course,B,A,A,A,A,06/28/2015
GOLF,Whittier Narrows Golf Course,A,A,A,A,A,06/28/2015
EAST,Dalton Park,A,A,A,A,A,06/29/2015
GOLF,Whittier Narrows Golf Course,A,A,,A,A,06/29/2015
SOUTH,Carolyn Rosas Park,A,A,,,A,06/29/2015
NORTH,El Cariso Community Regional Park,B,B,A,A,A,06/29/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,06/29/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,06/29/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,06/29/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,,06/30/2015
SOUTH,Cerritos Community Regional Park,F,D,A,C,B,06/30/2015
SOUTH,La Mirada Community Regional Park,A,A,A,A,A,06/30/2015
SOUTH,La Mirada Community Regional Park,A,A,,A,A,06/30/2015
SOUTH,La Mirada Community Regional Park,A,A,A,A,A,06/30/2015
SOUTH,La Mirada Community Regional Park,A,A,A,A,A,06/30/2015
SOUTH,La Mirada Community Regional Park,A,A,A,A,A,06/30/2015
SOUTH,La Mirada Community Regional Park,A,A,A,A,A,06/30/2015
SOUTH,Carolyn Rosas Park,B,A,A,A,A,06/30/2015
SOUTH,Adventure Park,A,A,A,A,A,06/30/2015
SOUTH,Adventure Park,A,A,A,A,A,06/30/2015
SOUTH,Adventure Park,A,A,,A,A,06/30/2015
NORTH,Apollo Community Regional Park,F,F,F,F,F,06/30/2015
SOUTH,"Earvin ""Magic"" Johnson Recreation Area",D,B,A,B,C,06/30/2015
EAST,City Terrace Park,C,B,,,B,07/01/2015
SOUTH,Col. Leon H. Washington Park,F,F,F,F,F,07/01/2015
NORTH,El Cariso Community Regional Park,F,A,,B,D,07/01/2015
NORTH,Val Verde Pool,A,A,,F,F,07/01/2015
GOLF,El Cariso Golf Course,A,A,A,A,A,07/02/2015
SOUTH,Enterprise Park,A,A,,A,A,07/02/2015
REGIONAL,Whittier Narrows Recreation Area,F,D,F,F,F,07/02/2015
GOLF,Lakewood Golf Course,A,A,A,A,A,07/02/2015
REGIONAL,Santa Fe Dam Recreational Area,C,F,,D,D,07/02/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,07/02/2015
NORTH,Apollo Community Regional Park,C,A,C,B,A,07/03/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/03/2015
EAST,Atlantic Avenue Park,F,C,B,B,C,07/03/2015
NORTH,Val Verde Community Regional Park,A,A,A,A,A,07/03/2015
REGIONAL,Santa Fe Dam Recreational Area,C,C,,F,D,07/04/2015
SOUTH,Athens Park,F,A,,,C,07/04/2015
SOUTH,Enterprise Park,A,A,,A,A,07/04/2015
NORTH,El Cariso Community Regional Park,B,A,A,A,A,07/05/2015
REGIONAL,Santa Fe Dam Recreational Area,A,A,A,A,A,07/06/2015
NORTH,San Fernando Pool,B,B,A,A,A,07/06/2015
EAST,Loma Alta Park,A,A,A,A,A,07/06/2015
SOUTH,Cerritos Community Regional Park,D,D,F,F,D,07/06/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,07/07/2015
REGIONAL,Virginia Robinson Gardens,A,C,B,A,A,07/07/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,07/07/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,B,A,07/07/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,07/07/2015
REGIONAL,Virginia Robinson Gardens,A,B,A,A,A,07/07/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,07/07/2015
SOUTH,Bill Blevins Park,B,F,C,A,A,07/07/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/07/2015
EAST,Eugene A. Obregon Park,C,B,B,A,A,07/07/2015
EAST,Eugene A. Obregon Park,A,A,A,,A,07/07/2015
EAST,Eugene A. Obregon Park,B,B,A,A,A,07/07/2015
EAST,Eugene A. Obregon Park,C,A,A,A,A,07/07/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,07/07/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,07/07/2015
EAST,Charles White Park,A,A,A,A,A,07/07/2015
EAST,Loma Alta Park,A,A,A,A,A,07/07/2015
EAST,Loma Alta Park,A,A,A,A,A,07/07/2015
EAST,Atlantic Avenue Park,A,A,A,A,A,07/07/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/07/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/07/2015
NORTH,El Cariso Community Regional Park,A,A,,A,A,07/07/2015
NORTH,El Cariso Community Regional Park,A,A,,A,A,07/07/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/07/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/07/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/07/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/07/2015
SOUTH,Ruben Ingold Parkway,A,A,,,C,07/08/2015
GOLF,El Cariso Golf Course,A,A,A,A,A,07/08/2015
SOUTH,Adventure Park,A,A,,A,A,07/08/2015
SOUTH,Adventure Park,A,A,A,A,A,07/08/2015
SOUTH,Adventure Park,A,A,A,A,A,07/08/2015
SOUTH,Adventure Park,A,A,A,A,A,07/08/2015
NORTH,El Cariso Community Regional Park,A,A,A,B,A,07/08/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/08/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/08/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/08/2015
SOUTH,Adventure Park,A,A,A,A,A,07/08/2015
SOUTH,Adventure Park,A,A,A,A,A,07/08/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/08/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/08/2015
NORTH,El Cariso Community Regional Park,A,A,B,A,A,07/08/2015
EAST,Belvedere Community Regional Park,B,A,,B,B,07/08/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/08/2015
NORTH,El Cariso Community Regional Park,A,A,A,B,B,07/09/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/09/2015
EAST,Atlantic Avenue Park,A,C,A,A,A,07/09/2015
EAST,Loma Alta Pool,A,A,A,A,A,07/09/2015
EAST,Valleydale Park,A,A,A,A,A,07/09/2015
EAST,Valleydale Park,A,A,A,A,A,07/09/2015
EAST,Valleydale Park,A,A,A,A,A,07/09/2015
EAST,Valleydale Park,A,A,A,A,A,07/09/2015
NORTH,El Cariso Community Regional Park,A,B,A,A,A,07/09/2015
NORTH,El Cariso Community Regional Park,A,A,,,A,07/10/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/10/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/10/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/10/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/10/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/10/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/10/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/10/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/10/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/10/2015
EAST,Rimgrove Park,A,A,A,A,A,07/10/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/11/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/11/2015
REGIONAL,Santa Fe Dam Recreational Area,,,,A,,07/11/2015
GOLF,Mountain Meadows Golf Course,B,B,A,A,B,07/11/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/11/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/12/2015
REGIONAL,Vasquez Rocks Natural Area and Nature Center,A,B,C,A,A,07/12/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/12/2015
SOUTH,Lennox Park,A,B,C,A,A,07/12/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,B,A,A,A,07/12/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/13/2015
REGIONAL,Peter F. Schabarum Regional Park,A,A,,A,A,07/13/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/13/2015
SOUTH,Cerritos Community Regional Park,A,A,,,,07/13/2015
SOUTH,Alondra Community Regional Park,A,A,,,A,07/13/2015
EAST,Pamela County Park,A,,,,,07/14/2015
EAST,Pamela County Park,A,B,A,B,,07/14/2015
EAST,Pamela County Park,C,C,,C,A,07/14/2015
EAST,Pamela County Park,A,A,A,A,A,07/14/2015
EAST,Pamela County Park,A,A,A,A,A,07/14/2015
EAST,Bassett Park,A,A,A,A,A,07/14/2015
EAST,Bassett Park,A,A,A,A,A,07/14/2015
EAST,Bassett Park,A,A,A,A,A,07/14/2015
EAST,Bassett Park,A,A,A,A,A,07/14/2015
EAST,Bassett Park,A,A,A,A,A,07/14/2015
EAST,Bassett Park,A,A,A,A,A,07/14/2015
EAST,Bassett Park,A,A,A,A,A,07/14/2015
EAST,Bassett Park,A,A,A,A,A,07/14/2015
EAST,Bassett Park,B,A,A,A,A,07/14/2015
EAST,Bassett Park,A,A,A,A,A,07/14/2015
EAST,Bassett Park,A,A,A,A,A,07/14/2015
EAST,Bassett Park,A,A,,A,A,07/14/2015
REGIONAL,Deana Dana Friendship Natural Area and Nature Center,A,A,A,A,A,07/14/2015
REGIONAL,Deana Dana Friendship Natural Area and Nature Center,A,A,A,A,A,07/14/2015
EAST,Pamela County Park,A,A,A,A,A,07/14/2015
EAST,Pamela County Park,A,A,A,A,A,07/14/2015
EAST,Pamela County Park,A,A,A,A,A,07/14/2015
EAST,Pamela County Park,A,A,A,A,A,07/14/2015
EAST,Pamela County Park,A,A,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
GOLF,El Cariso Golf Course,B,A,B,A,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
GOLF,El Cariso Golf Course,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,B,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,D,D,D,D,D,07/14/2015
GOLF,El Cariso Golf Course,A,A,A,A,A,07/14/2015
SOUTH,Pathfinder Community Regional Park,B,B,,F,B,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
GOLF,Los Amigos Golf Course,A,A,A,A,A,07/14/2015
REGIONAL,Tujunga Ponds Wildlife Sanctuary,C,C,,C,A,07/14/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/14/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/14/2015
EAST,Pamela County Park,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,B,A,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,B,A,A,07/14/2015
GOLF,El Cariso Golf Course,A,B,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/14/2015
GOLF,Victoria Golf Course,C,C,C,B,F,07/14/2015
GOLF,Lakewood Golf Course,A,A,A,A,A,07/14/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/14/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,A,B,A,A,A,07/14/2015
NORTH,El Cariso Pool,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,A,B,A,B,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/14/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/14/2015
GOLF,Knollwood Golf Course,B,B,F,A,A,07/14/2015
GOLF,Los Verdes Golf Course,C,B,A,A,A,07/15/2015
EAST,Pamela County Park,A,A,A,A,A,07/15/2015
EAST,Pamela County Park,A,A,A,A,A,07/15/2015
EAST,Pamela County Park,A,A,A,A,A,07/15/2015
EAST,Pamela County Park,A,A,A,A,A,07/15/2015
EAST,Pamela County Park,A,A,A,A,A,07/15/2015
EAST,Loma Alta Park,A,A,A,A,A,07/15/2015
EAST,Loma Alta Park,A,A,A,A,A,07/15/2015
EAST,Loma Alta Park,A,A,B,A,A,07/15/2015
NORTH,Knollwood Pool,A,A,A,A,A,07/15/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/15/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/15/2015
EAST,Loma Alta Park,A,A,A,A,A,07/15/2015
GOLF,Knollwood Golf Course,B,B,A,A,A,07/15/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/15/2015
GOLF,Knollwood Golf Course,C,C,B,C,B,07/15/2015
SOUTH,Lennox Park,C,B,A,B,A,07/15/2015
GOLF,Los Verdes Golf Course,A,A,A,B,A,07/15/2015
EAST,Loma Alta Park,B,B,C,B,B,07/15/2015
EAST,Loma Alta Park,A,A,A,A,A,07/15/2015
EAST,Loma Alta Park,A,A,A,A,A,07/15/2015
EAST,Loma Alta Park,A,A,A,A,A,07/15/2015
EAST,Loma Alta Park,A,A,A,A,A,07/15/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/15/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/15/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/15/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/15/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/16/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,07/16/2015
GOLF,Knollwood Golf Course,D,D,D,D,D,07/16/2015
SOUTH,Roy Campanella Park,A,B,,B,A,07/16/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/16/2015
SOUTH,Cerritos Community Regional Park,D,C,D,F,D,07/16/2015
SOUTH,Pathfinder Community Regional Park,A,F,,A,F,07/16/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/16/2015
GOLF,Knollwood Golf Course,A,B,A,A,A,07/17/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/17/2015
GOLF,El Cariso Golf Course,A,B,,C,D,07/17/2015
REGIONAL,Vasquez Rocks Natural Area and Nature Center,A,A,,A,A,07/17/2015
GOLF,Victoria Golf Course,B,A,,A,A,07/17/2015
NORTH,George Lane Park,B,B,,B,F,07/17/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/17/2015
GOLF,Knollwood Golf Course,B,B,B,A,B,07/17/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/17/2015
GOLF,Victoria Golf Course,B,B,A,A,A,07/18/2015
GOLF,Lakewood Golf Course,B,A,A,A,A,07/18/2015
GOLF,Knollwood Golf Course,B,B,B,B,B,07/18/2015
GOLF,El Cariso Golf Course,A,A,A,A,A,07/18/2015
GOLF,Victoria Golf Course,A,A,A,A,B,07/18/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/19/2015
GOLF,Knollwood Golf Course,B,A,B,A,A,07/19/2015
GOLF,Knollwood Golf Course,A,B,A,A,A,07/19/2015
EAST,Loma Alta Park,A,A,A,A,A,07/20/2015
EAST,Loma Alta Park,B,B,B,B,B,07/20/2015
EAST,Loma Alta Park,A,A,A,A,A,07/20/2015
EAST,Loma Alta Park,A,A,A,A,A,07/20/2015
EAST,Loma Alta Park,B,A,,B,,07/20/2015
EAST,Loma Alta Park,A,B,A,A,A,07/20/2015
EAST,Loma Alta Park,A,A,B,A,A,07/20/2015
EAST,Loma Alta Park,B,B,B,A,A,07/20/2015
NORTH,Pearblossom County Park,A,A,A,A,A,07/20/2015
NORTH,Pearblossom County Park,A,A,A,A,A,07/20/2015
NORTH,Pearblossom County Park,A,A,A,A,A,07/20/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/20/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/20/2015
EAST,Arcadia Community Regional Park,A,A,A,A,A,07/20/2015
EAST,Arcadia Community Regional Park,A,A,A,A,A,07/20/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/20/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,07/21/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/21/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/21/2015
GOLF,Knollwood Golf Course,B,B,A,B,A,07/21/2015
GOLF,Knollwood Golf Course,A,A,A,A,,07/21/2015
EAST,Loma Alta Park,A,A,A,A,A,07/21/2015
NORTH,Stephen Sorensen Park,A,A,B,A,A,07/21/2015
SOUTH,Cerritos Community Regional Park,F,F,C,F,D,07/21/2015
REGIONAL,San Dimas Canyon Community Regional Park,F,F,C,C,A,07/21/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/21/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/21/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/21/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/21/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/21/2015
GOLF,Lakewood Golf Course,A,A,A,A,A,07/22/2015
NORTH,West Creek Park,A,A,A,A,A,07/23/2015
NORTH,West Creek Park,A,A,A,A,A,07/23/2015
NORTH,West Creek Park,A,A,A,A,A,07/23/2015
NORTH,West Creek Park,A,A,A,A,A,07/23/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/23/2015
GOLF,Knollwood Golf Course,B,B,B,B,,07/23/2015
GOLF,Knollwood Golf Course,B,B,B,,B,07/23/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/24/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,07/24/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,07/24/2015
REGIONAL,Castaic Lake State Recreation Area,F,F,B,B,F,07/25/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/25/2015
SOUTH,"Earvin ""Magic"" Johnson Recreation Area",C,C,,,B,07/25/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/25/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,A,A,A,07/26/2015
NORTH,West Creek Park,A,A,A,A,A,07/27/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/27/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/27/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/27/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/27/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/27/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/27/2015
NORTH,West Creek Park,A,A,,A,A,07/27/2015
NORTH,West Creek Park,A,A,A,A,A,07/27/2015
EAST,Loma Alta Park,A,A,A,A,A,07/27/2015
EAST,Ruben F. Salazar Park,C,A,A,A,A,07/27/2015
NORTH,West Creek Park,A,A,,A,A,07/27/2015
NORTH,West Creek Park,A,A,,A,A,07/27/2015
NORTH,El Cariso Community Regional Park,A,A,,A,A,07/27/2015
NORTH,El Cariso Community Regional Park,A,A,,A,A,07/27/2015
NORTH,El Cariso Community Regional Park,B,A,,A,A,07/27/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/27/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/27/2015
REGIONAL,San Dimas Canyon Natural Area and Nature Center,A,A,A,A,A,07/27/2015
EAST,Charles White Park,B,B,A,A,A,07/27/2015
EAST,Charles White Park,,A,A,B,B,07/27/2015
EAST,Charles White Park,A,A,A,A,B,07/27/2015
EAST,Charles White Park,A,A,A,A,A,07/27/2015
EAST,Charles White Park,A,A,A,A,A,07/27/2015
EAST,Loma Alta Park,A,A,A,A,A,07/27/2015
EAST,Loma Alta Park,A,A,A,A,A,07/27/2015
EAST,Loma Alta Park,A,A,A,A,A,07/27/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,07/27/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,07/27/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,07/27/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,07/27/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,07/27/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,07/27/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,07/27/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,07/27/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,07/27/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,07/27/2015
SOUTH,Hacienda Heights Community Center,A,A,,A,B,07/27/2015
NORTH,Acton County Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,B,B,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,B,A,A,A,A,07/27/2015
EAST,Loma Alta Park,A,A,,A,A,07/27/2015
EAST,Loma Alta Park,A,A,A,A,A,07/27/2015
EAST,Loma Alta Park,A,A,A,A,A,07/27/2015
EAST,Loma Alta Park,A,A,A,A,A,07/27/2015
EAST,Loma Alta Park,A,A,A,A,A,07/27/2015
EAST,Loma Alta Park,A,A,A,A,A,07/27/2015
EAST,Loma Alta Park,A,A,,A,A,07/27/2015
EAST,Loma Alta Park,A,A,A,A,A,07/27/2015
EAST,Valleydale Park,A,A,A,A,A,07/27/2015
EAST,Valleydale Park,B,B,A,A,A,07/27/2015
EAST,Valleydale Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,B,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,C,A,B,A,07/27/2015
EAST,Allen J. Martin Park,A,A,,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,D,B,B,C,C,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,C,A,,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,C,B,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,C,B,A,A,A,07/27/2015
